erv_name	chromosome	start	end	strand	overlap_feature_types	overlapping_transcript_ids	overlapping_gene_ids	overlapping_gene_names	gene_biotypes	strand_overlap	closest_upstream_pc_gene
3694	12	8804843	8810581	+	intron	ENST00000537288	ENSG00000256661	A2ML1-AS1	lncRNA	opposite	.
3698	12	9832950	9837802	-	exon and intron	ENST00000537723,ENST00000545196,ENST00000617793,ENST00000617889,ENST00000279545,ENST00000612321,ENST00000354855	ENSG00000150045	KLRF1	protein_coding	opposite	.
3699	12	9902698	9911285	-	intron	ENST00000339766	ENSG00000188393	CLEC2A	protein_coding	same	CLEC2A
3701	12	9959545	9968656	-	intron	ENST00000355690	ENSG00000172322	CLEC12A	protein_coding	opposite	.
3703	12	10333015	10338658	-	exon and intron	ENST00000539009	ENSG00000256288	LINC02617	lncRNA	same	.
3704	12	10360360	10370314	+	exon and intron	ENST00000535911,ENST00000663376,ENST00000665123,ENST00000666750,ENST00000500682,ENST00000654540,ENST00000671087	ENSG00000256155,ENSG00000245648	LINC02598,KLRK1-AS1	lncRNA	both	.
3710	12	11462167	11468020	-	intron	ENST00000538349,ENST00000653546,ENST00000540635,ENST00000542062,ENST00000545829	ENSG00000255790,ENSG00000121335	PRB2	lncRNA,protein_coding	same	.
3711	12	11606753	11615133	-	no_overlap	.	.	.	.	none	.
3713	12	12057939	12068548	+	exon and intron	ENST00000545463,ENST00000586576,ENST00000591235,ENST00000464885,ENST00000461264,ENST00000589718	ENSG00000121380	BCL2L14	protein_coding	same	BCL2L14
3714	12	13259331	13265519	-	intron	ENST00000664966	ENSG00000286869	.	lncRNA	same	.
3715	12	14214884	14222902	+	exon and intron	ENST00000538329	ENSG00000256084	.	lncRNA	same	.
3716	12	14232267	14235122	+	no_overlap	.	.	.	.	none	.
3720	12	14702784	14710642	-	intron	ENST00000501178	ENSG00000214772	GUCY2C-AS1	lncRNA	opposite	.
3722	12	17021892	17027363	-	no_overlap	.	.	.	.	none	.
3723	12	17296989	17304852	+	no_overlap	.	.	.	.	none	.
3724	12	17469894	17479908	+	exon	ENST00000669683	ENSG00000256389	.	lncRNA	same	.
3726	12	18032561	18043196	+	no_overlap	.	.	.	.	none	.
3728	12	18172531	18178434	+	intron	ENST00000540148,ENST00000541632	ENSG00000111404	RERGL	protein_coding	opposite	.
3727	12	18195761	18203724	+	exon and intron	ENST00000540148,ENST00000541632	ENSG00000111404	RERGL	protein_coding	opposite	.
3730	12	20762121	20778674	+	no_overlap	.	.	.	.	none	.
3731	12	20816176	20822421	-	intron	ENST00000261196,ENST00000381541,ENST00000381545,ENST00000540229,ENST00000540853	ENSG00000111700,ENSG00000257046	SLCO1B3,SLCO1B3-SLCO1B7	protein_coding	opposite	.
3732	12	20946422	20956877	-	intron	ENST00000381541,ENST00000540229	ENSG00000257046	SLCO1B3-SLCO1B7	protein_coding	opposite	.
3737	12	23507130	23511362	-	no_overlap	.	.	.	.	none	.
3738	12	25163321	25169475	+	intron	ENST00000545133,ENST00000674567,ENST00000395990,ENST00000354189,ENST00000395987,ENST00000554347,ENST00000555240,ENST00000320267,ENST00000554533,ENST00000556467,ENST00000556547,ENST00000557684,ENST00000676236	ENSG00000118307	DNAI7	protein_coding	opposite	.
3741	12	26777172	26782083	+	intron	ENST00000242737,ENST00000381340,ENST00000545235	ENSG00000123104	ITPR2	protein_coding	opposite	.
3742	12	28814047	28819426	+	no_overlap	.	.	.	.	none	.
3743	12	29135981	29140551	-	no_overlap	.	.	.	.	none	.
3748	12	30056121	30062530	+	no_overlap	.	.	.	.	none	.
3750	12	30844145	30852087	+	intron	ENST00000648700	ENSG00000285517	.	lncRNA	same	.
3751	12	31937072	31944995	-	intron	ENST00000662662	ENSG00000255760	LINC02422	lncRNA	same	.
3758	12	34099127	34102322	+	no_overlap	.	.	.	.	none	.
3757	12	34117739	34127780	-	no_overlap	.	.	.	.	none	.
HERVH	12	34265544	34274259	+	no_overlap	.	.	.	.	none	.
3761	12	34521569	34530691	+	no_overlap	.	.	.	.	none	.
K-44	12	34619618	34629282	-	no_overlap	.	.	.	.	none	.
3769	12	38123075	38131103	+	no_overlap	.	.	.	.	none	.
W-122	12	38471579	38474423	+	no_overlap	.	.	.	.	none	.
W-123	12	38636499	38641551	+	no_overlap	.	.	.	.	none	.
3770	12	38931329	38938699	-	no_overlap	.	.	.	.	none	.
3771	12	39190839	39201157	-	no_overlap	.	.	.	.	none	.
3772	12	40386725	40394243	+	exon and intron	ENST00000676020,ENST00000454784	ENSG00000205592	MUC19	protein_coding	same	.
3775	12	42289228	42304112	-	intron	ENST00000549190	ENSG00000134283	PPHLN1	protein_coding	opposite	.
3776	12	42440798	42451511	+	exon and intron	ENST00000256678,ENST00000317560,ENST00000337898,ENST00000395568,ENST00000432191,ENST00000610488,ENST00000619544,ENST00000552761,ENST00000549190,ENST00000395580,ENST00000449194,ENST00000358314,ENST00000613154,ENST00000624028	ENSG00000134283	PPHLN1	protein_coding	same	.
3777	12	43977406	43979740	-	intron	ENST00000550495,ENST00000266534,ENST00000551577,ENST00000546868	ENSG00000139173	TMEM117	protein_coding	opposite	.
3780	12	44449478	44458159	+	no_overlap	.	.	.	.	none	.
3781	12	44477854	44484556	+	no_overlap	.	.	.	.	none	.
3783	12	46032126	46035283	+	no_overlap	.	.	.	.	none	.
3784	12	46320418	46326298	-	no_overlap	.	.	.	.	none	.
3785	12	46727180	46734247	-	intron	ENST00000666025,ENST00000667191,ENST00000611243,ENST00000663959	ENSG00000257261	SLC38A4-AS1	lncRNA	opposite	.
3786	12	47445281	47448016	-	no_overlap	.	.	.	.	none	.
3788	12	48109292	48115444	-	intron	ENST00000546755,ENST00000547581,ENST00000549366,ENST00000642730,ENST00000550345,ENST00000549003,ENST00000550924,ENST00000549941,ENST00000340802,ENST00000548288,ENST00000550257,ENST00000552792	ENSG00000152556	PFKM	protein_coding	opposite	.
3790	12	48507425	48511691	+	exon and intron	ENST00000551654	ENSG00000197376	.	transcribed_processed_pseudogene	same	.
3792	12	50491881	50498717	-	no_overlap	.	.	.	.	none	.
ERVW-24	12	50902474	50913367	-	no_overlap	.	.	.	.	none	.
3795	12	51736108	51740325	-	intron	ENST00000354534,ENST00000355133,ENST00000545061,ENST00000550891,ENST00000627620,ENST00000662684,ENST00000668547,ENST00000551216,ENST00000599343	ENSG00000196876	SCN8A	protein_coding	opposite	.
3797	12	52112034	52118408	-	no_overlap	.	.	.	.	none	.
3799	12	54942537	54948366	-	exon	ENST00000449076,ENST00000524622	ENSG00000135426	TESPA1	protein_coding	same	TESPA1
3804	12	56492497	56498659	-	no_overlap	.	.	.	.	none	.
3806	12	57657405	57667271	+	no_overlap	.	.	.	.	none	.
K-13	12	58327457	58336915	-	no_overlap	.	.	.	.	none	.
3810	12	58849352	58859752	-	no_overlap	.	.	.	.	none	.
3811	12	59101199	59110075	+	exon and intron	ENST00000690337,ENST00000687666	ENSG00000286351	.	lncRNA	same	.
3812	12	59323185	59328986	-	exon and intron	ENST00000686816,ENST00000661804	ENSG00000286279	.	lncRNA	opposite	.
3814	12	60294615	60302893	+	no_overlap	.	.	.	.	none	.
3816	12	60951278	60957631	-	no_overlap	.	.	.	.	none	.
3818	12	61587105	61594151	+	no_overlap	.	.	.	.	none	.
3820	12	63310334	63318909	-	intron	ENST00000551729	ENSG00000258117	LINC03056	lncRNA	same	.
3822	12	63414764	63419373	+	no_overlap	.	.	.	.	none	.
3825	12	64130613	64136206	-	intron	ENST00000355086,ENST00000542841,ENST00000543397,ENST00000631006	ENSG00000196935	SRGAP1	protein_coding	opposite	.
3826	12	66281496	66290831	-	no_overlap	.	.	.	.	none	.
3827	12	67766803	67772346	-	no_overlap	.	.	.	.	none	.
3832	12	70085289	70091969	+	intron	ENST00000549419,ENST00000668518	ENSG00000257815	PRANCR	lncRNA	opposite	.
3833	12	70137387	70142028	-	intron	ENST00000549419,ENST00000668518	ENSG00000257815	PRANCR	lncRNA	same	.
3835	12	70442190	70450110	-	exon	ENST00000410473	ENSG00000222405	RNU4-65P	snRNA	same	.
3836	12	72705498	72715004	-	no_overlap	.	.	.	.	none	.
3838	12	72818510	72824743	-	no_overlap	.	.	.	.	none	.
3839	12	73000534	73007727	-	no_overlap	.	.	.	.	none	.
3841	12	74264423	74272845	+	exon and intron	ENST00000552046,ENST00000549905,ENST00000515416,ENST00000551726,ENST00000658677,ENST00000658833,ENST00000665895,ENST00000668228,ENST00000668665,ENST00000668997,ENST00000670471,ENST00000670573,ENST00000656876,ENST00000653134,ENST00000662107,ENST00000663261,ENST00000665907,ENST00000669556	ENSG00000257183,ENSG00000251138	LINC02882	lncRNA	opposite	.
3842	12	75371090	75377752	-	exon and intron	ENST00000328705,ENST00000486196,ENST00000548035,ENST00000336815,ENST00000552497,ENST00000551829,ENST00000436898,ENST00000548958,ENST00000547320	ENSG00000180881	CAPS2	protein_coding	same	.
3843	12	76291617	76300850	+	exon and intron	ENST00000550380,ENST00000553247	ENSG00000257219	LNCOG	lncRNA	same	.
3844	12	76692123	76698035	-	no_overlap	.	.	.	.	none	.
3846	12	78476884	78485323	+	exon and intron	ENST00000660149,ENST00000548963,ENST00000552230,ENST00000654030,ENST00000662391,ENST00000658392,ENST00000671062,ENST00000546865	ENSG00000258084,ENSG00000257165	.	lncRNA	both	.
3847	12	79539847	79545636	+	exon and intron	ENST00000548359,ENST00000551032,ENST00000552167	ENSG00000257474	.	lncRNA	same	.
3850	12	80782523	80788903	-	no_overlap	.	.	.	.	none	LIN7A
3853	12	81896576	81905618	+	no_overlap	.	.	.	.	none	.
3854	12	82368066	82374373	-	exon and intron	ENST00000550058,ENST00000551722,ENST00000248306,ENST00000547357,ENST00000548200,ENST00000548569,ENST00000547985	ENSG00000127720	METTL25	protein_coding	opposite	.
3857	12	84103010	84107711	-	intron	ENST00000688936,ENST00000689302	ENSG00000289309	.	lncRNA	same	.
3859	12	84502185	84506979	-	no_overlap	.	.	.	.	none	.
W-125	12	84793970	84798674	+	no_overlap	.	.	.	.	none	.
3861	12	86938450	86946946	+	no_overlap	.	.	.	.	none	.
3863	12	87664272	87669384	-	no_overlap	.	.	.	.	none	.
3864	12	87903931	87912836	-	no_overlap	.	.	.	.	none	.
3866	12	88173234	88183818	-	exon and intron	ENST00000266712,ENST00000547034	ENSG00000139324	TMTC3	protein_coding	opposite	.
3867	12	88227444	88235542	+	no_overlap	.	.	.	.	none	.
3868	12	88367520	88375449	+	no_overlap	.	.	.	.	none	.
3874	12	90984688	90992447	+	intron	ENST00000261172,ENST00000550203,ENST00000551767	ENSG00000083782	EPYC	protein_coding	opposite	.
3876	12	92386729	92394176	+	no_overlap	.	.	.	.	none	.
3880	12	94355583	94362873	+	exon and intron	ENST00000469709,ENST00000339839,ENST00000397809,ENST00000547232	ENSG00000244391,ENSG00000173588	RN7SL330P,CEP83	misc_RNA,protein_coding	both	.
3882	12	95442615	95448166	-	no_overlap	.	.	.	.	none	.
3881	12	95448372	95458090	-	no_overlap	.	.	.	.	none	.
3883	12	95749007	95757677	+	intron	ENST00000343702,ENST00000344911,ENST00000538383,ENST00000547980,ENST00000553059,ENST00000674345	ENSG00000074527	NTN4	protein_coding	opposite	.
3886	12	99715178	99723796	+	intron	ENST00000547776,ENST00000549866,ENST00000683438,ENST00000547010	ENSG00000185046	ANKS1B	protein_coding	opposite	.
3887	12	100159472	100166196	-	exon and intron	ENST00000545820,ENST00000537988,ENST00000397112,ENST00000304813,ENST00000546413,ENST00000421840,ENST00000266746	ENSG00000290571,ENSG00000238105	GOLGA2P5	lncRNA,transcribed_unprocessed_pseudogene	same	.
3888	12	100633104	100648335	-	no_overlap	.	.	.	.	none	.
3891	12	102660489	102666731	-	no_overlap	.	.	.	.	none	.
3892	12	103222088	103229120	-	no_overlap	.	.	.	.	none	.
3894	12	104824073	104828664	+	intron	ENST00000549713,ENST00000258538	ENSG00000136052	SLC41A2	protein_coding	opposite	.
W-126	12	104943253	104944044	+	intron	ENST00000411411,ENST00000258538,ENST00000424946,ENST00000415674,ENST00000449866,ENST00000432951,ENST00000433540,ENST00000417469	ENSG00000136052	SLC41A2	protein_coding	opposite	.
3895	12	105302833	105309240	-	exon and intron	ENST00000549251,ENST00000548458	ENSG00000257642,ENSG00000235162	C12orf75-AS1,C12orf75	lncRNA,protein_coding	both	.
3898	12	105309246	105313375	+	intron	ENST00000549251,ENST00000548458	ENSG00000257642,ENSG00000235162	C12orf75-AS1,C12orf75	lncRNA,protein_coding	both	.
3899	12	105604458	105610131	-	no_overlap	.	.	.	.	none	.
3901	12	110403278	110411068	-	exon and intron	ENST00000552170,ENST00000464697,ENST00000455511,ENST00000450008,ENST00000550231	ENSG00000196510,ENSG00000258210	ANAPC7	protein_coding,lncRNA	same	.
K-69	12	110570036	110571520	+	intron	ENST00000354300	ENSG00000196850	PPTC7	protein_coding	opposite	.
3902	12	111816237	111825646	-	exon	ENST00000261733	ENSG00000111275	ALDH2	protein_coding	opposite	.
3903	12	114055743	114063389	+	no_overlap	.	.	.	.	none	.
3905	12	114064656	114073070	+	no_overlap	.	.	.	.	none	.
3906	12	117650037	117657245	+	intron	ENST00000339824,ENST00000545002	ENSG00000171435	KSR2	protein_coding	opposite	.
3907	12	118477757	118492028	-	no_overlap	.	.	.	.	none	.
3908	12	120606996	120614359	+	no_overlap	.	.	.	.	none	.
W-127	12	123548416	123558736	+	no_overlap	.	.	.	.	none	.
3912	12	126032245	126032814	+	exon and intron	ENST00000642407,ENST00000653364,ENST00000653418,ENST00000659525,ENST00000661236,ENST00000665464,ENST00000665882,ENST00000668594	ENSG00000275212	LINC02826	lncRNA	same	.
3913	12	126612960	126618470	-	exon and intron	ENST00000536978,ENST00000689745,ENST00000545853	ENSG00000255900,ENSG00000256732	.	processed_pseudogene,lncRNA	same	.
3914	12	127153667	127156488	+	intron	ENST00000671545,ENST00000650869	ENSG00000287339,ENSG00000286016	.	lncRNA	both	.
3915	12	127480968	127489317	+	exon and intron	ENST00000661170,ENST00000653590	ENSG00000287112,ENSG00000286922	.	lncRNA	same	.
3916	12	127610383	127617989	+	no_overlap	.	.	.	.	none	.
3919	12	131336582	131341336	+	no_overlap	.	.	.	.	none	.
3920	12	131867697	131880952	-	no_overlap	.	.	.	.	none	.
3921	12	132889549	132898380	+	intron	ENST00000540537,ENST00000541817,ENST00000542714,ENST00000499045,ENST00000536932	ENSG00000072609	CHFR	protein_coding	opposite	.
3922	12	133090535	133096478	-	exon and intron	ENST00000319849,ENST00000536790,ENST00000355557,ENST00000356456,ENST00000392041,ENST00000412146,ENST00000429434,ENST00000544426,ENST00000440550	ENSG00000196387	ZNF140	protein_coding	opposite	.
3927	13	19626059	19635907	+	exon and intron	ENST00000361479	ENSG00000196199	MPHOSPH8	protein_coding	same	.
3929	13	20678764	20685230	-	intron	ENST00000319980,ENST00000351808,ENST00000482172	ENSG00000032742	IFT88	protein_coding	opposite	.
3931	13	23006468	23008782	+	no_overlap	.	.	.	.	none	.
3932	13	23525043	23532770	+	exon	ENST00000695562	ENSG00000289688	.	lncRNA	same	.
3935	13	24927391	24930999	+	intron	ENST00000434100,ENST00000700979,ENST00000429698,ENST00000688382,ENST00000692241,ENST00000688349,ENST00000690064,ENST00000692136,ENST00000700851	ENSG00000291041	.	lncRNA	opposite	.
3937	13	27212361	27220509	+	intron	ENST00000620494	ENSG00000275294	LINC02340	lncRNA	opposite	.
3941	13	34798093	34802020	+	no_overlap	.	.	.	.	none	.
3942	13	35143339	35147650	-	intron	ENST00000379939,ENST00000400445,ENST00000685025,ENST00000687732,ENST00000688363,ENST00000688626,ENST00000690712,ENST00000691196,ENST00000691351,ENST00000686320	ENSG00000172915	NBEA	protein_coding	opposite	.
3943	13	36316324	36321264	+	intron	ENST00000355182,ENST00000438666,ENST00000451493,ENST00000475603,ENST00000494062,ENST00000650221	ENSG00000133104	SPART	protein_coding	opposite	.
ERVW-25	13	36956648	36958981	+	intron	ENST00000681763,ENST00000239891,ENST00000443765,ENST00000460230,ENST00000496689,ENST00000679572,ENST00000679673,ENST00000679760,ENST00000679837,ENST00000680671,ENST00000680795,ENST00000680949,ENST00000681016,ENST00000681043,ENST00000681151,ENST00000681214,ENST00000681553,ENST00000681581,ENST00000681893,ENST00000680012,ENST00000680488,ENST00000681208	ENSG00000120697	ALG5	protein_coding	opposite	.
3946	13	37965979	37975592	-	intron	ENST00000664606,ENST00000657277,ENST00000617568,ENST00000666031,ENST00000667295,ENST00000670194	ENSG00000274317	LINC02334	lncRNA	opposite	.
3949	13	40874209	40881161	-	exon and intron	ENST00000660894,ENST00000652519,ENST00000633547,ENST00000379515	ENSG00000287837,ENSG00000290476	.	lncRNA	same	.
3950	13	41419197	41426048	-	no_overlap	.	.	.	.	none	.
3951	13	42865080	42873158	-	no_overlap	.	.	.	.	none	.
3955	13	48056440	48062297	+	intron	ENST00000495013	ENSG00000136146	MED4	protein_coding	opposite	.
3956	13	48616547	48625882	+	no_overlap	.	.	.	.	none	.
3957	13	48867574	48872863	-	no_overlap	.	.	.	.	none	.
3959	13	51169715	51178462	+	exon and intron	ENST00000701431,ENST00000569306,ENST00000433280,ENST00000636098	ENSG00000289894,ENSG00000226792	C13orf42	lncRNA,protein_coding	both	.
3962	13	54127416	54133158	-	exon and intron	ENST00000451744,ENST00000423442,ENST00000427299,ENST00000606055,ENST00000606706,ENST00000607494,ENST00000706980,ENST00000706981,ENST00000706983,ENST00000706984,ENST00000706985,ENST00000666992,ENST00000706982	ENSG00000234787	LINC00458	lncRNA	same	.
3963	13	54268581	54281346	+	exon and intron	ENST00000706980,ENST00000706981,ENST00000706988	ENSG00000234787	LINC00458	lncRNA	opposite	.
3965	13	54693160	54697528	-	no_overlap	.	.	.	.	none	.
3964	13	54700694	54707583	+	no_overlap	.	.	.	.	none	.
3966	13	54910919	54919216	-	no_overlap	.	.	.	.	none	.
3967	13	55053784	55062564	+	no_overlap	.	.	.	.	none	.
3968	13	55578230	55584088	-	exon and intron	ENST00000617598	ENSG00000274090	.	lncRNA	same	.
3969	13	55654929	55660802	-	no_overlap	.	.	.	.	none	.
3970	13	55871315	55879892	-	no_overlap	.	.	.	.	none	.
3971	13	56040250	56047190	+	no_overlap	.	.	.	.	none	.
3972	13	56112401	56118290	-	no_overlap	.	.	.	.	none	.
3976	13	61088437	61095488	+	intron	ENST00000658247	ENSG00000225249	LINC00378	lncRNA	same	.
3977	13	61205681	61212008	+	no_overlap	.	.	.	.	none	.
3978	13	62149073	62158240	+	no_overlap	.	.	.	.	none	.
3979	13	63213290	63217634	+	intron	ENST00000439454	ENSG00000227564	LINC00376	lncRNA	opposite	.
3980	13	63233908	63237379	+	intron	ENST00000439454	ENSG00000227564	LINC00376	lncRNA	opposite	.
3984	13	64362661	64369318	+	no_overlap	.	.	.	.	none	.
3985	13	64702660	64709475	-	no_overlap	.	.	.	.	none	.
3987	13	66137808	66147046	-	no_overlap	.	.	.	.	none	.
3986	13	66225354	66232361	-	no_overlap	.	.	.	.	none	.
3991	13	67397371	67405701	+	no_overlap	.	.	.	.	none	.
3992	13	68551478	68559215	+	no_overlap	.	.	.	.	none	.
3998	13	71027794	71031307	-	intron	ENST00000653160,ENST00000655045,ENST00000659244,ENST00000662353,ENST00000663997,ENST00000666881,ENST00000656251,ENST00000660222,ENST00000664823,ENST00000671240,ENST00000428761,ENST00000653878,ENST00000667632,ENST00000671477,ENST00000658800,ENST00000665820,ENST00000661523,ENST00000655546	ENSG00000226846	LINC00348	lncRNA	opposite	.
3999	13	72018778	72024309	+	no_overlap	.	.	.	.	none	.
4003	13	76983509	76993630	+	exon and intron	ENST00000436565,ENST00000636183,ENST00000636780,ENST00000485938,ENST00000637537,ENST00000638147,ENST00000377453,ENST00000637397,ENST00000635989,ENST00000616833,ENST00000636525,ENST00000635905,ENST00000636767,ENST00000635915,ENST00000636405,ENST00000636681,ENST00000636705,ENST00000485797	ENSG00000228002,ENSG00000102805,ENSG00000283208,ENSG00000005812	DHX9P1,CLN5,FBXL3	processed_pseudogene,protein_coding	both	.
4006	13	77933220	77939379	-	exon and intron	ENST00000435281,ENST00000662890,ENST00000646948,ENST00000607862	ENSG00000233379,ENSG00000136160,ENSG00000234377	EDNRB,OBI1-AS1	lncRNA,protein_coding	both	.
4009	13	80183285	80189980	+	no_overlap	.	.	.	.	none	.
4012	13	81866270	81874925	+	no_overlap	.	.	.	.	none	.
4013	13	82323121	82331429	+	no_overlap	.	.	.	.	none	.
4015	13	82970276	82975361	-	intron	ENST00000663739	ENSG00000286385	.	lncRNA	same	.
4017	13	83906710	83913797	-	exon	ENST00000399480	ENSG00000215037	VENTXP2	processed_pseudogene	same	.
4018	13	84869080	84877709	+	exon and intron	ENST00000656194	ENSG00000288038	.	lncRNA	opposite	.
4021	13	86358154	86365765	+	no_overlap	.	.	.	.	none	.
4023	13	86757452	86765921	-	no_overlap	.	.	.	.	none	.
4024	13	87186447	87192108	-	no_overlap	.	.	.	.	none	.
4027	13	87335240	87342563	+	no_overlap	.	.	.	.	none	.
4028	13	87349980	87356844	-	no_overlap	.	.	.	.	none	.
4029	13	88509739	88518743	-	intron	ENST00000658219	ENSG00000229443	LINC00433	lncRNA	opposite	.
4034	13	89655524	89666393	+	intron	ENST00000659314	ENSG00000271395	LINC02336	lncRNA	same	.
4035	13	90287078	90294324	+	no_overlap	.	.	.	.	none	.
4036	13	90611193	90622128	-	no_overlap	.	.	.	.	none	.
4039	13	90839490	90844113	+	no_overlap	.	.	.	.	none	.
4038	13	90846803	90854278	-	no_overlap	.	.	.	.	none	.
4043	13	93039390	93045152	+	intron	ENST00000660073	ENSG00000232849	LINC00363	lncRNA	same	.
4046	13	97585771	97597701	-	no_overlap	.	.	.	.	none	.
4045	13	97642317	97649512	+	no_overlap	.	.	.	.	none	.
4047	13	97767567	97773962	-	no_overlap	.	.	.	.	none	.
4048	13	98761876	98767723	+	no_overlap	.	.	.	.	none	.
4050	13	99488623	99496752	-	exon and intron	ENST00000625287,ENST00000626729,ENST00000656995,ENST00000625369,ENST00000630421,ENST00000625254,ENST00000642146	ENSG00000280734,ENSG00000125304	LINC01232,TM9SF2	lncRNA,protein_coding	both	.
4051	13	100080209	100088667	+	exon and intron	ENST00000612598,ENST00000654763	ENSG00000274605	PCCA-DT	lncRNA	opposite	.
4052	13	100283432	100286288	+	intron	ENST00000376279,ENST00000376285,ENST00000376286,ENST00000636420,ENST00000637657,ENST00000636475,ENST00000647303,ENST00000636366	ENSG00000175198	PCCA	protein_coding	same	.
4053	13	101219486	101228820	+	intron	ENST00000251127,ENST00000470333,ENST00000497170,ENST00000648359,ENST00000674840,ENST00000674904,ENST00000675150,ENST00000675332,ENST00000675594,ENST00000675802,ENST00000676315,ENST00000676439	ENSG00000102452	NALCN	protein_coding	opposite	.
4054	13	102669279	102672426	-	intron	ENST00000376052,ENST00000376065,ENST00000466153,ENST00000650757,ENST00000651448,ENST00000651544,ENST00000651748,ENST00000652033,ENST00000652308,ENST00000698381,ENST00000698382,ENST00000698388,ENST00000698390,ENST00000698391,ENST00000698383,ENST00000698384,ENST00000698385,ENST00000698389,ENST00000698392,ENST00000482393,ENST00000651921	ENSG00000134900	TPP2	protein_coding	opposite	.
4055	13	104206932	104213834	-	no_overlap	.	.	.	.	none	.
4056	13	107885026	107897487	-	intron	ENST00000663056	ENSG00000286343	.	lncRNA	opposite	.
ERVH13q33.3	13	109265089	109271116	+	exon	ENST00000618966	ENSG00000275216	LINC03061	lncRNA	same	.
4059	13	110965845	110972486	+	exon and intron	ENST00000440735,ENST00000652145,ENST00000615151	ENSG00000290808,ENSG00000290807,ENSG00000275989	SPACA7BP	lncRNA,transcribed_unprocessed_pseudogene	both	.
4060	13	111189506	111199087	-	intron	ENST00000218789,ENST00000317133,ENST00000375736,ENST00000466143,ENST00000469877,ENST00000491775,ENST00000646102,ENST00000700426,ENST00000375741,ENST00000467053,ENST00000426073,ENST00000375739,ENST00000449979	ENSG00000102606	ARHGEF7	protein_coding	opposite	.
4061	14	18347359	18359735	+	no_overlap	.	.	.	.	none	.
4062	14	19974026	19984673	+	exon	ENST00000305051	ENSG00000169488	OR4K15	protein_coding	same	.
4065	14	20569440	20577476	+	no_overlap	.	.	.	.	none	.
4068	14	20715360	20726308	-	exon and intron	ENST00000557256	ENSG00000259144	RANBP20P	processed_pseudogene	same	.
4071	14	20807623	20817205	-	no_overlap	.	.	.	.	none	.
4070	14	20829990	20836521	-	no_overlap	.	.	.	.	none	.
4074	14	21003300	21011512	+	intron	ENST00000647921	ENSG00000258471	.	lncRNA	opposite	SLC39A2
W-129	14	22236549	22244186	+	intron	ENST00000656379	ENSG00000251002	TRD-AS1	lncRNA	opposite	.
4086	14	24009539	24015782	-	intron	ENST00000658653,ENST00000656462,ENST00000671464,ENST00000558293	ENSG00000286931,ENSG00000215256,ENSG00000285467	DHRS4-AS1,DHRS4L1	lncRNA	both	.
4088	14	25281089	25287444	-	no_overlap	.	.	.	.	none	.
4090	14	25418437	25431789	-	exon	ENST00000547237	ENSG00000257976	.	processed_pseudogene	same	.
W-130	14	26259721	26261009	+	no_overlap	.	.	.	.	none	.
4091	14	27117729	27122638	-	intron	ENST00000656336,ENST00000552303	ENSG00000258081	.	lncRNA	opposite	.
4093	14	28410707	28421229	+	exon and intron	ENST00000548280	ENSG00000257869	.	lncRNA	same	.
4094	14	29172565	29176666	+	intron	ENST00000652140	ENSG00000258028	.	lncRNA	same	.
4095	14	29251542	29259610	-	exon and intron	ENST00000652247,ENST00000652140	ENSG00000257522,ENSG00000258028	.	lncRNA	both	.
4096	14	30041557	30054141	+	exon and intron	ENST00000549503,ENST00000549360	ENSG00000184304,ENSG00000248975	PRKD1	protein_coding,lncRNA	opposite	.
4097	14	30965848	30972548	+	intron	ENST00000355683,ENST00000357479,ENST00000555358	ENSG00000196792	STRN3	protein_coding	opposite	.
4098	14	31240556	31251389	-	exon and intron	ENST00000365532,ENST00000551799	ENSG00000202402,ENSG00000257831	Y_RNA	misc_RNA,lncRNA	opposite	.
4099	14	31271806	31280829	+	exon and intron	ENST00000551799	ENSG00000257831	.	lncRNA	same	.
4100	14	31701989	31712213	-	exon and intron	ENST00000548937,ENST00000550649,ENST00000281081,ENST00000549838,ENST00000551314,ENST00000547839	ENSG00000151413	NUBPL	protein_coding	opposite	.
4103	14	32235294	32250524	-	exon	ENST00000556497	ENSG00000258619	.	processed_pseudogene	same	.
4104	14	34650308	34655200	+	no_overlap	.	.	.	.	none	.
4109	14	38190637	38196528	+	exon and intron	ENST00000693595,ENST00000555655,ENST00000687886,ENST00000702131,ENST00000554687,ENST00000702013,ENST00000685472,ENST00000689498,ENST00000693073	ENSG00000258649,ENSG00000259048	.	lncRNA	both	.
4116	14	39893311	39899665	+	intron	ENST00000651829,ENST00000650911,ENST00000652126	ENSG00000258526	.	lncRNA	same	.
4118	14	41234055	41240317	-	no_overlap	.	.	.	.	none	.
4121	14	41515870	41522403	+	no_overlap	.	.	.	.	none	.
4123	14	42309012	42313917	-	no_overlap	.	.	.	.	none	.
4125	14	42802593	42808056	+	exon	ENST00000553339	ENSG00000258934	YWHAQP1	processed_pseudogene	opposite	.
4126	14	43001684	43009333	+	no_overlap	.	.	.	.	none	.
4128	14	43606506	43617077	+	no_overlap	.	.	.	.	none	.
4129	14	44415787	44419209	+	no_overlap	.	.	.	.	none	.
4130	14	44667982	44677819	+	no_overlap	.	.	.	.	none	.
ERVW-26	14	45019484	45023694	-	exon and intron	ENST00000557423,ENST00000553817,ENST00000556239,ENST00000361462,ENST00000361577,ENST00000556105	ENSG00000198718,ENSG00000179454	TOGARAM1,KLHL28	protein_coding	both	.
4133	14	45491975	45501194	-	no_overlap	.	.	.	.	none	.
